# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         12716    1.19975577   -0.00492510    0.45872128        127024    1.20419225   -0.00122819    0.46339726
          20         12711    1.19992880   -0.00146516    0.46182167        254189    1.20393043   -0.00086132    0.46460567
          30         12750    1.21584531   -0.00107195    0.47041943        381145    1.20554727   -0.00078076    0.46474291
          40         12692    1.18677882    0.00106933    0.46015279        508175    1.20506474   -0.00057487    0.46467434
          50         12713    1.21148756   -0.00438278    0.46467363        635097    1.20501639   -0.00070352    0.46470760
          60         12723    1.21407582    0.00194474    0.46326420        762027    1.20509293   -0.00049579    0.46494714
          70         12684    1.19162866    0.00292975    0.46372312        889025    1.20505230   -0.00012634    0.46502060
          80         12752    1.22040988    0.00066186    0.47086395       1016038    1.20524020    0.00014017    0.46500069
          90         12718    1.20627650   -0.00311078    0.46217429       1142890    1.20523428    0.00006094    0.46491919
         100         12708    1.20165809   -0.00242715    0.47131149       1270085    1.20515869    0.00001324    0.46497586
         110         12720    1.19895482   -0.00219073    0.46823617       1397162    1.20510640    0.00001444    0.46512681
         120         12759    1.20084707    0.00212500    0.46497779       1524251    1.20510517    0.00005067    0.46511121
         130         12687    1.21353685   -0.00205364    0.46518297       1651186    1.20504800    0.00010017    0.46509283
         140         12719    1.21405567    0.00135289    0.46731684       1778042    1.20500016    0.00011036    0.46518647
         150         12660    1.20962998   -0.00386916    0.46251350       1905008    1.20511384    0.00015540    0.46511337
         160         12706    1.19960297   -0.00350024    0.46995668       2032007    1.20501162    0.00013981    0.46511617
         170         12756    1.19729018    0.00380729    0.46282938       2158966    1.20514157    0.00014075    0.46508379
         180         12659    1.21128458   -0.00166481    0.46325211       2285806    1.20521231    0.00014738    0.46510424
         190         12691    1.19583455    0.00053063    0.46113420       2412856    1.20514842    0.00013612    0.46506769
         200         12652    1.20649092    0.00414018    0.46405987       2539961    1.20522185    0.00009024    0.46514508
         210         12726    1.21341929   -0.00342619    0.46779678       2666945    1.20526809    0.00004268    0.46518369
         220         12709    1.20293045    0.00026990    0.46703496       2793995    1.20510333    0.00004092    0.46518471
         230         12718    1.21124557    0.00517002    0.46404243       2920991    1.20527274    0.00011405    0.46515928
         240         12692    1.21509627   -0.00527500    0.47289734       3047905    1.20526723    0.00003204    0.46524942
         250         12704    1.20027432    0.00074158    0.46301110       3174914    1.20520409    0.00006312    0.46519088
         260         12732    1.20329604   -0.00431780    0.46007215       3301763    1.20520884    0.00006879    0.46518671
         270         12787    1.21488553   -0.00040404    0.46448617       3428719    1.20518029    0.00004740    0.46522883
         280         12606    1.19207722   -0.00117185    0.46384153       3555803    1.20517691    0.00008482    0.46516936
         290         12733    1.21278027    0.00532120    0.46920663       3682848    1.20517827    0.00009035    0.46517048
         300         12640    1.19224394   -0.00012151    0.46653597       3809805    1.20517091    0.00014876    0.46514418
         310         12709    1.21286894   -0.00103544    0.47139549       3936742    1.20511260    0.00019252    0.46518496
         320         12681    1.19717500    0.00379358    0.46709859       4063793    1.20499277    0.00018110    0.46518822
