# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10        131097    0.47521881   -0.75458457    0.30055166       1310521    0.47527230   -0.75455077    0.30234891
          20        130660    0.47363359   -0.75106309    0.30220345       2623133    0.47552523   -0.75500354    0.30242823
          30        130699    0.47253307   -0.74865901    0.30185217       3933737    0.47523103   -0.75449398    0.30215670
          40        130904    0.47443266   -0.75360934    0.30168119       5245605    0.47539996   -0.75478501    0.30232080
          50        130971    0.47240000   -0.75066742    0.29582639       6556852    0.47532653   -0.75466170    0.30218372
          60        130981    0.47405313   -0.75228894    0.29941983       7868615    0.47537881   -0.75472599    0.30226295
          70        130883    0.47377998   -0.75187838    0.30224540       9180087    0.47532047   -0.75456506    0.30230848
          80        131312    0.47751519   -0.75831189    0.30417943      10490991    0.47532681   -0.75462104    0.30218956
          90        131040    0.47323673   -0.75120837    0.30289490      11802513    0.47530317   -0.75454357    0.30225560
         100        131417    0.47794530   -0.75781477    0.30656880      13114224    0.47542649   -0.75477049    0.30228007
