# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
         100          5060   18.86965211    0.13480135   -1.94872615        500357   18.71210922   -0.00931062   -1.92613263
         200          5066   18.63924971   -0.46790086   -1.93756437       1001322   18.71673134   -0.00778200   -1.92719843
         300          5068   18.72705586   -0.08598423   -1.94736567       1502304   18.71486668   -0.00591930   -1.92610847
         400          4997   18.44722718    0.09120993   -1.89047144       2002651   18.71534119   -0.00747439   -1.92619288
         500          4964   18.49943420    0.11247519   -1.90464642       2502873   18.72020723   -0.00740048   -1.92693617
         600          4950   18.74515827    0.10447543   -1.92821697       3002200   18.71138015   -0.00683930   -1.92608699
         700          5031   18.68631373   -0.13035351   -1.91836111       3502244   18.70504272   -0.00866865   -1.92544940
         800          5039   19.40827140   -0.06717175   -1.98746560       4002464   18.69845398   -0.01025827   -1.92481507
         900          5016   19.18812883   -0.05354741   -1.97086560       4502495   18.70540789   -0.01178854   -1.92527593
        1000          5051   18.95563787   -0.19728853   -1.93330593       5002980   18.70284618   -0.00727719   -1.92498685
