# Name            Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg
input1           8.00     1.40    -3.57     0.00   0.02808667  -0.00011119  -0.11018434  -3.92301176   0.02117122  -0.00011119  -0.11171942   0.00000151   0.00429905   0.00002847   0.00000151   0.07539323  -0.00004229  -0.13167623
input2           8.00     1.40    -3.10     0.00   0.02559508  -0.00005519  -0.09523271  -3.72074298   0.02040755  -0.00005519  -0.09647750  -0.00000374   0.00356899   0.00001354  -0.00000374   0.06496376  -0.00002158  -0.13010718
input3           8.00     1.40    -2.62     0.00   0.02340045  -0.00007695  -0.08003427  -3.42020193   0.01971749  -0.00007695  -0.08102028   0.00000084   0.00290365   0.00001065   0.00000084   0.05446201  -0.00003832  -0.12818324
input4           8.00     1.40    -2.14     0.00   0.02158247   0.00009786  -0.06490480  -3.00729266   0.01914378   0.00009786  -0.06566545  -0.00000048   0.00222907   0.00002929  -0.00000048   0.04401618   0.00009156  -0.12621216
input5           8.00     1.40    -1.67     0.00   0.02018452  -0.00006180  -0.05032422  -2.49320907   0.01870935  -0.00006180  -0.05089108   0.00000043   0.00167198  -0.00001091   0.00000043   0.03405722  -0.00005023  -0.12449115
input6           8.00     1.40    -1.19     0.00   0.01909889   0.00005489  -0.03568977  -1.86868287   0.01835357   0.00005489  -0.03607872   0.00000003   0.00110600  -0.00002424   0.00000003   0.02406519   0.00001069  -0.12260410
input7           8.00     1.40    -0.71     0.00   0.01841877   0.00005298  -0.02104049  -1.14233982   0.01815663   0.00005298  -0.02126711  -0.00000001   0.00062598   0.00000751  -0.00000001   0.01415959   0.00004122  -0.12062518
input8           8.00     1.40    -0.24     0.00   0.01803435   0.00005675  -0.00703963  -0.39034543   0.01800471   0.00005675  -0.00711511   0.00000001   0.00016973  -0.00001142   0.00000001   0.00469753   0.00002469  -0.11886294
input9           8.00     1.40     0.24     0.00   0.01806861  -0.00005472   0.00711178   0.39359867   0.01803866  -0.00005472   0.00718740   0.00000000  -0.00019446   0.00000794   0.00000000  -0.00476826  -0.00002688  -0.11879020
input10           8.00     1.40     0.71     0.00   0.01840652  -0.00004400   0.02112786   1.14784654   0.01814330  -0.00004400   0.02135433  -0.00000005  -0.00064400  -0.00000776  -0.00000005  -0.01423312  -0.00003576  -0.12078792
input11           8.00     1.40     1.19     0.00   0.01912319  -0.00003932   0.03555559   1.85929224   0.01838065  -0.00003932   0.03594507  -0.00000004  -0.00113837   0.00002728  -0.00000004  -0.02401250   0.00000226  -0.12252374
input12           8.00     1.40     1.67     0.00   0.02018663  -0.00004999   0.05039426   2.49641709   0.01870943  -0.00004999   0.05096115   0.00000006  -0.00164877  -0.00000756   0.00000006  -0.03407859  -0.00003937  -0.12442612
input13           8.00     1.40     2.14     0.00   0.02156304   0.00006844   0.06497784   3.01338973   0.01912164   0.00006844   0.06573771  -0.00000053  -0.00223589  -0.00000447  -0.00000053  -0.04406897   0.00003908  -0.12633943
input14           8.00     1.40     2.62     0.00   0.02342577  -0.00002245   0.07995581   3.41315613   0.01974637  -0.00002245   0.08094306   0.00000198  -0.00288895   0.00000740   0.00000198  -0.05439817  -0.00000689  -0.12805275
input15           8.00     1.40     3.10     0.00   0.02558812  -0.00005431   0.09513278   3.71784865   0.02040601  -0.00005431   0.09637734   0.00000009  -0.00357716  -0.00001386   0.00000009  -0.06490820  -0.00004843  -0.13007628
input16           8.00     1.40     3.57     0.00   0.02815089  -0.00005991   0.11028696   3.91770832   0.02122892  -0.00005991   0.11182584   0.00000036  -0.00430800  -0.00003394   0.00000036  -0.07546990  -0.00007206  -0.13186587
input17           8.00     1.40     4.05     0.00   0.03111960  -0.00007129   0.12588847   4.04531093   0.02215077  -0.00007129   0.12777198  -0.00000339  -0.00510719   0.00002399  -0.00000339  -0.08641664  -0.00002138  -0.13367183
input18           8.00     1.40     4.52     0.00   0.03442661  -0.00007431   0.14107622   4.09788313   0.02320173  -0.00007431   0.14335052  -0.00000001  -0.00590845   0.00003586  -0.00000001  -0.09713151  -0.00001143  -0.13529440
input19           8.00     1.40     5.00     0.00   0.03812048  -0.00001557   0.15678334   4.11283746   0.02431085  -0.00001557   0.15950915  -0.00000105  -0.00676712  -0.00000015  -0.00000105  -0.10827294  -0.00001006  -0.13710816
input20           8.00     1.40     5.48     0.00   0.04228591   0.00008943   0.17281552   4.08683444   0.02558906   0.00008943   0.17606392  -0.00001003  -0.00772168  -0.00001334  -0.00001003  -0.11976235   0.00004357  -0.13945590
input21           8.00     1.40     5.95     0.00   0.04668540   0.00000947   0.18855950   4.03893898   0.02688772   0.00000947   0.19238311   0.00001573  -0.00864007  -0.00000021   0.00001573  -0.13106568   0.00000582  -0.14352338
