# Name            gravity          Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg
input1     1.50           8.00     1.40     2.00     0.00   0.02110346   0.00007122   0.06053702   2.86858219   0.01897790   0.00007122   0.06123664  -0.00000073  -0.00764143   0.00000727  -0.00000073  -0.04104323   0.00004612  -0.15380857
input2     1.52           8.00     1.40     2.00     0.00   0.02113043  -0.00003086   0.06052464   2.86433556   0.01900528  -0.00003086   0.06122521   0.00000112  -0.00719691  -0.00001000   0.00000112  -0.04103776  -0.00002705  -0.15037237
input3     1.53           8.00     1.40     2.00     0.00   0.02118264  -0.00005676   0.06056542   2.85920046   0.01905604  -0.00005676   0.06126779  -0.00000031  -0.00694099  -0.00000080  -0.00000031  -0.04102816  -0.00003238  -0.14876232
input4     1.55           8.00     1.40     2.00     0.00   0.02114988  -0.00003893   0.06049043   2.86008386   0.01902591  -0.00003893   0.06119170   0.00000088  -0.00650533  -0.00000916   0.00000088  -0.04099520  -0.00003110  -0.14558322
input5     1.57           8.00     1.40     2.00     0.00   0.02113985   0.00003952   0.06049104   2.86146927   0.01901587   0.00003952   0.06119196   0.00000032  -0.00610100   0.00002843   0.00000032  -0.04103605   0.00005099  -0.14280970
input6     1.58           8.00     1.40     2.00     0.00   0.02113110   0.00003953   0.06053916   2.86493209   0.01900544   0.00003953   0.06123975  -0.00000027  -0.00582775   0.00001743  -0.00000027  -0.04101277   0.00004014  -0.14141868
input7     1.60           8.00     1.40     2.00     0.00   0.02113924   0.00005864   0.06052307   2.86306750   0.01901414   0.00005864   0.06122395  -0.00000070  -0.00543628   0.00000085  -0.00000070  -0.04105749   0.00003497  -0.13896787
input8     1.62           8.00     1.40     2.00     0.00   0.02108588   0.00003196   0.06059181   2.87357193   0.01895842   0.00003196   0.06129078   0.00000101  -0.00496698  -0.00000671   0.00000101  -0.04107282   0.00001212  -0.13649021
input9     1.63           8.00     1.40     2.00     0.00   0.02117696  -0.00002112   0.06055660   2.85955125   0.01905066  -0.00002112   0.06125878  -0.00000041  -0.00473634  -0.00000972  -0.00000041  -0.04104609  -0.00002224  -0.13551003
input10     1.65           8.00     1.40     2.00     0.00   0.02111496  -0.00000380   0.06050053   2.86529254   0.01899066  -0.00000380   0.06120058   0.00000106  -0.00429603  -0.00000523   0.00000106  -0.04101637  -0.00000751  -0.13334490
input11     1.67           8.00     1.40     2.00     0.00   0.02115623   0.00002840   0.06057834   2.86338005   0.01902919   0.00002840   0.06127978  -0.00000041  -0.00386523  -0.00000191  -0.00000041  -0.04107876   0.00001533  -0.13146075
input12     1.68           8.00     1.40     2.00     0.00   0.02114829  -0.00003971   0.06056427   2.86379002   0.01902175  -0.00003971   0.06126544   0.00000024  -0.00367289  -0.00000893   0.00000024  -0.04110051  -0.00003319  -0.13072334
input13     1.70           8.00     1.40     2.00     0.00   0.02115601  -0.00008030   0.06055697   2.86240060   0.01902971  -0.00008030   0.06125841  -0.00000028  -0.00318338  -0.00000036  -0.00000028  -0.04105222  -0.00005000  -0.12901103
input14     1.72           8.00     1.40     2.00     0.00   0.02112174  -0.00003878   0.06051854   2.86522546   0.01899680  -0.00003878   0.06121881   0.00000025  -0.00273988   0.00000124   0.00000025  -0.04102947  -0.00002301  -0.12743298
input15     1.73           8.00     1.40     2.00     0.00   0.02107782  -0.00001793   0.06049529   2.87009255   0.01895372  -0.00001793   0.06119404  -0.00000089  -0.00249717   0.00000468  -0.00000089  -0.04099379  -0.00000660  -0.12687928
input16     1.75           8.00     1.40     2.00     0.00   0.02112349   0.00003364   0.06057256   2.86754453   0.01899667   0.00003364   0.06127286   0.00000090  -0.00203850  -0.00003812   0.00000090  -0.04103032  -0.00001671  -0.12575455
input17     1.77           8.00     1.40     2.00     0.00   0.02111396   0.00000681   0.06050390   2.86558755   0.01898954   0.00000681   0.06120391  -0.00000218  -0.00162868   0.00001963  -0.00000218  -0.04102174   0.00002401  -0.12471407
input18     1.78           8.00     1.40     2.00     0.00   0.02115657   0.00001194   0.06055679   2.86231573   0.01903028   0.00001194   0.06125826  -0.00000198  -0.00140623  -0.00000439  -0.00000198  -0.04105703   0.00000334  -0.12440241
input19     1.80           8.00     1.40     2.00     0.00   0.02112759  -0.00003593   0.06045705   2.86152145   0.01900480  -0.00003593   0.06115756  -0.00000032  -0.00092538  -0.00001448  -0.00000032  -0.04095578  -0.00003799  -0.12361740
input20     1.82           8.00     1.40     2.00     0.00   0.02109687  -0.00012713   0.06053141   2.86921289   0.01897150  -0.00012713   0.06123081   0.00000023  -0.00052339   0.00001628   0.00000023  -0.04104705  -0.00006785  -0.12336856
input21     1.83           8.00     1.40     2.00     0.00   0.02115933   0.00002327   0.06057089   2.86260907   0.01903255   0.00002327   0.06127244   0.00000036  -0.00031715   0.00000395   0.00000036  -0.04109117   0.00001944  -0.12314483
input22     1.85           8.00     1.40     2.00     0.00   0.02114451  -0.00001601   0.06065678   2.86867728   0.01901474  -0.00001601   0.06135777   0.00000048   0.00014283   0.00000453   0.00000048  -0.04113421  -0.00000624  -0.12296293
input23     1.87           8.00     1.40     2.00     0.00   0.02114017   0.00002205   0.06050127   2.86190967   0.01901583   0.00002205   0.06120219   0.00000069   0.00059862   0.00000367   0.00000069  -0.04101887   0.00001866  -0.12301980
input24     1.88           8.00     1.40     2.00     0.00   0.02111791  -0.00000313   0.06055111   2.86728741   0.01899184  -0.00000313   0.06125123  -0.00000079   0.00081349   0.00001921  -0.00000079  -0.04106008   0.00001707  -0.12300029
input25     1.90           8.00     1.40     2.00     0.00   0.02111145   0.00005043   0.06054852   2.86804165   0.01898548   0.00005043   0.06124841   0.00000091   0.00127814  -0.00003307   0.00000091  -0.04103895   0.00000178  -0.12325144
input26     1.92           8.00     1.40     2.00     0.00   0.02112709  -0.00009038   0.06054877   2.86592985   0.01900110  -0.00009038   0.06124921   0.00000023   0.00172360   0.00002168   0.00000023  -0.04103948  -0.00004142  -0.12375209
input27     1.93           8.00     1.40     2.00     0.00   0.02116431   0.00003895   0.06053985   2.86046929   0.01903861   0.00003895   0.06124160   0.00000017   0.00193013  -0.00002244   0.00000017  -0.04105033   0.00000490  -0.12405391
input28     1.95           8.00     1.40     2.00     0.00   0.02112968  -0.00004391   0.06046202   2.86147408   0.01900671  -0.00004391   0.06116260  -0.00000139   0.00238765   0.00003683  -0.00000139  -0.04098220   0.00000570  -0.12481932
input29     1.97           8.00     1.40     2.00     0.00   0.02109766   0.00015773   0.06048613   2.86695959   0.01897387   0.00015773   0.06118558  -0.00000055   0.00285649  -0.00001941  -0.00000055  -0.04097464   0.00009358  -0.12575807
input30     1.98           8.00     1.40     2.00     0.00   0.02114558   0.00002996   0.06054297   2.86314952   0.01901978   0.00002996   0.06124406   0.00000089   0.00303959   0.00001739   0.00000089  -0.04105613   0.00003897  -0.12641682
