# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         98022    0.02274812    0.00008454    0.06601963        979992    0.02287964    0.00014122    0.06626725
          20         98059    0.02318613   -0.00061299    0.06670410       1959726    0.02305477   -0.00005030    0.06616810
          30         97858    0.02337613    0.00017329    0.06592809       2939362    0.02303878    0.00003997    0.06612241
          40         97942    0.02294828    0.00030202    0.06530100       3919130    0.02302115    0.00009029    0.06618231
          50         98005    0.02334768    0.00060294    0.06645930       4898826    0.02306295    0.00013867    0.06618901
          60         98018    0.02349610    0.00026526    0.06715658       5878725    0.02309760    0.00013456    0.06618871
          70         97958    0.02304447    0.00081038    0.06623529       6858906    0.02311500    0.00012126    0.06618809
          80         97969    0.02318995    0.00040488    0.06645223       7838959    0.02309258    0.00012263    0.06618517
          90         98028    0.02298824    0.00013267    0.06624286       8818857    0.02310236    0.00011904    0.06620904
         100         97999    0.02287323    0.00030203    0.06747479       9798628    0.02309093    0.00017263    0.06620077
