# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         95836    0.01947331    0.00011100   -0.00074061        958826    0.01975962   -0.00048155   -0.00013465
          20         95765    0.01991498   -0.00054496    0.00040065       1917318    0.01977707   -0.00024463    0.00001788
          30         95927    0.01965756    0.00127303   -0.00026613       2876186    0.01975860   -0.00007001   -0.00002369
          40         95882    0.01946120    0.00017670    0.00017749       3835005    0.01975093    0.00002340    0.00007111
          50         95928    0.01958830    0.00064851    0.00058382       4793824    0.01972664    0.00008849    0.00005747
          60         95779    0.01981267   -0.00003047    0.00069300       5752892    0.01971619    0.00011154    0.00003610
          70         95790    0.01959801   -0.00021493    0.00031097       6711456    0.01974345    0.00006184    0.00005541
          80         95925    0.01999248    0.00094719   -0.00002070       7670589    0.01973990    0.00005595    0.00000073
          90         95874    0.01924212   -0.00010674   -0.00085968       8629193    0.01973061    0.00005792   -0.00000283
         100         95894    0.01949768   -0.00094506    0.00033963       9587871    0.01973189    0.00005428   -0.00001204
