# Name            pitch          Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg      CP_x         CP_y   
input1     -10.00           8.00     1.40   -10.00     0.00   0.10246065  -0.00013564  -0.34444234  -3.36170374   0.04109226  -0.00013564  -0.35700159  -0.00000759   0.01906866   0.00001960  -0.00000759   0.24625149  -0.00006671  -0.19104681   1.71986168   0.00006645
input2     -9.60           8.00     1.40    -9.60     0.00   0.09561168  -0.00004115  -0.32814617  -3.43207190   0.03954822  -0.00004115  -0.33949587   0.00001771   0.01799046   0.00001567   0.00001771   0.23403328  -0.00001052  -0.18656103   1.71874730  -0.00013576
input3     -9.20           8.00     1.40    -9.20     0.00   0.08878018   0.00006053  -0.31074796  -3.50019528   0.03795538   0.00006053  -0.32094486   0.00002756   0.01675579   0.00000371   0.00002756   0.22099343   0.00004222  -0.18136959   1.71670183  -0.00023756
input4     -8.80           8.00     1.40    -8.80     0.00   0.08257547   0.00007293  -0.29478047  -3.56983107   0.03650618   0.00007293  -0.30394330   0.00001760   0.01569070  -0.00003333   0.00001760   0.20910916   0.00001308  -0.17676694   1.71518191  -0.00015078
input5     -8.40           8.00     1.40    -8.40     0.00   0.07659233  -0.00013822  -0.27885616  -3.64078410   0.03503453  -0.00013822  -0.28705352   0.00004382   0.01452634   0.00001048   0.00004382   0.19719676  -0.00007748  -0.17159848   1.71255503  -0.00031646
input6     -8.00           8.00     1.40    -8.00     0.00   0.07091897  -0.00003856  -0.26306219  -3.70933468   0.03361761  -0.00003856  -0.27037210   0.00000587   0.01347007   0.00000075   0.00000587   0.18552504  -0.00002378  -0.16673987   1.71052115  -0.00003212
input7     -7.60           8.00     1.40    -7.60     0.00   0.06558091  -0.00000835  -0.24785784  -3.77942063   0.03222403  -0.00000835  -0.25435404  -0.00000919   0.01244450  -0.00001036  -0.00000919   0.17430616  -0.00001568  -0.16187566   1.70820596   0.00010127
input8     -7.20           8.00     1.40    -7.20     0.00   0.06051167  -0.00002123  -0.23308497  -3.85190084   0.03082123  -0.00002123  -0.23883115  -0.00000368   0.01155741  -0.00000313  -0.00000368   0.16354087  -0.00001664  -0.15765576   1.70679618   0.00003038
input9     -6.80           8.00     1.40    -6.80     0.00   0.05583828  -0.00012401  -0.21874172  -3.91741519   0.02954560  -0.00012401  -0.22381446   0.00000814   0.01063581  -0.00002369   0.00000814   0.15306320  -0.00010260  -0.15309325   1.70453626  -0.00002000
input10     -6.40           8.00     1.40    -6.40     0.00   0.05138331  -0.00005182  -0.20430605  -3.97611692   0.02828931  -0.00005182  -0.20876044   0.00001035   0.00960613   0.00003645   0.00001035   0.14245368   0.00000347  -0.14830335   1.70066071  -0.00012782
input11     -6.00           8.00     1.40    -6.00     0.00   0.04718321   0.00005455  -0.19009219  -4.02880969   0.02705469   0.00005455  -0.19398283  -0.00000729   0.00872843  -0.00004321  -0.00000729   0.13217205  -0.00000849  -0.14387171   1.69802762   0.00008372
input12     -5.60           8.00     1.40    -5.60     0.00   0.04342482   0.00000267  -0.17701238  -4.07629541   0.02594419   0.00000267  -0.18040509   0.00000057   0.00801782   0.00002185   0.00000057   0.12282106   0.00002355  -0.14060737   1.69655162  -0.00005218
input13     -5.20           8.00     1.40    -5.20     0.00   0.03978746  -0.00000847  -0.16345093  -4.10810206   0.02480973  -0.00000847  -0.16638427  -0.00000260   0.00714338  -0.00001528  -0.00000260   0.11302428  -0.00002067  -0.13787741   1.69267256   0.00007231
input14     -4.80           8.00     1.40    -4.80     0.00   0.03653334  -0.00006251  -0.15026829  -4.11318214   0.02383109  -0.00006251  -0.15279831   0.00000650   0.00641420   0.00004101   0.00000650   0.10364949   0.00000123  -0.13651955   1.69019281  -0.00016696
input15     -4.40           8.00     1.40    -4.40     0.00   0.03353109   0.00000499  -0.13725343  -4.09331794   0.02290232   0.00000499  -0.13942138   0.00000122   0.00567525  -0.00000379   0.00000122   0.09439795  -0.00000061  -0.13476976   1.68690996  -0.00001244
input16     -4.00           8.00     1.40    -4.00     0.00   0.03079416  -0.00002614  -0.12416964  -4.03224627   0.02205751  -0.00002614  -0.12601526   0.00000033   0.00499754  -0.00002358   0.00000033   0.08518907  -0.00004021  -0.13336382   1.68419984   0.00004805
input17     -3.60           8.00     1.40    -3.60     0.00   0.02830706   0.00003259  -0.11122347  -3.92917816   0.02126742   0.00003259  -0.11278141   0.00000192   0.00434409   0.00002381   0.00000192   0.07611408   0.00004455  -0.13180591   1.68123814  -0.00008402
input18     -3.20           8.00     1.40    -3.20     0.00   0.02609944  -0.00003554  -0.09834597  -3.76812608   0.02056892  -0.00003554  -0.09964954  -0.00000076   0.00371731  -0.00007996  -0.00000076   0.06713065  -0.00010258  -0.13035813   1.67811096   0.00017238
input19     -2.80           8.00     1.40    -2.80     0.00   0.02419728   0.00005329  -0.08567741  -3.54078606   0.01998307   0.00005329  -0.08675715   0.00000012   0.00316130  -0.00001523   0.00000012   0.05837040   0.00001869  -0.12885144   1.67584144  -0.00004800
input20     -2.40           8.00     1.40    -2.40     0.00   0.02254239   0.00001522  -0.07309568  -3.24258845   0.01946168   0.00001522  -0.07397554   0.00000018   0.00258571  -0.00002132   0.00000018   0.04966105  -0.00001164  -0.12732588   1.67202196   0.00012607
input21     -2.00           8.00     1.40    -2.00     0.00   0.02112372   0.00008463  -0.06055481  -2.86667342   0.01899752   0.00008463  -0.06125513   0.00000141   0.00205323   0.00001289   0.00000141   0.04103376   0.00006675  -0.12571048   1.66832881  -0.00015052
input22     -1.60           8.00     1.40    -1.60     0.00   0.02004043   0.00002714  -0.04826999  -2.40863033   0.01868484   0.00002714  -0.04881073   0.00000019   0.00159497   0.00001772   0.00000019   0.03265634   0.00003499  -0.12422190   1.66612694  -0.00012268
input23     -1.20           8.00     1.40    -1.20     0.00   0.01914584  -0.00000277  -0.03594889  -1.87763402   0.01838879  -0.00000277  -0.03634196   0.00000005   0.00113298   0.00000138   0.00000005   0.02425968  -0.00000038  -0.12254540   1.66228502  -0.00026487
input24     -0.80           8.00     1.40    -0.80     0.00   0.01853801  -0.00004323  -0.02379586  -1.28362544   0.01820396  -0.00004323  -0.02405237   0.00000010   0.00073923   0.00000849   0.00000010   0.01604529  -0.00001903  -0.12096070   1.66116165   0.00011500
input25     -0.40           8.00     1.40    -0.40     0.00   0.01810572   0.00010203  -0.01178493  -0.65089530   0.01802301   0.00010203  -0.01191104  -0.00000000   0.00030999   0.00001359  -0.00000000   0.00788974   0.00007852  -0.11943006   1.64944774  -0.00001910
input26     0.00           8.00     1.40     0.00     0.00   0.01799332   0.00004040  -0.00004412  -0.00245182   0.01799332   0.00004040  -0.00004412  -0.00000000  -0.00003182   0.00006003  -0.00000000  -0.00000375   0.00008574  -0.11781797   1.35234250   0.00525674
input27     0.40           8.00     1.40     0.40     0.00   0.01811116   0.00002369   0.01185125   0.65436178   0.01802798   0.00002369   0.01197740  -0.00000006  -0.00032740   0.00001066  -0.00000006  -0.00794938   0.00002574  -0.11930902   1.65293641  -0.00034992
input28     0.80           8.00     1.40     0.80     0.00   0.01846306  -0.00000753   0.02373775   1.28568855   0.01812983  -0.00000753   0.02399322  -0.00000011  -0.00074800   0.00004044  -0.00000011  -0.01601641   0.00003565  -0.12099860   1.66217457  -0.00003218
input29     1.20           8.00     1.40     1.20     0.00   0.01912700   0.00002410   0.03588419   1.87610161   0.01837130   0.00002410   0.03627689  -0.00000032  -0.00112704   0.00000032  -0.00000032  -0.02421233   0.00001566  -0.12262808   1.66201178   0.00015417
input30     1.60           8.00     1.40     1.60     0.00   0.01998665   0.00000258   0.04820546   2.41188290   0.01863288   0.00000258   0.04874473  -0.00000005  -0.00156019  -0.00000314  -0.00000005  -0.03257956  -0.00000150  -0.12415248   1.66443309  -0.00016347
input31     2.00           8.00     1.40     2.00     0.00   0.02113602  -0.00006453   0.06048899   2.86189094   0.01901211  -0.00006453   0.06118978  -0.00000045  -0.00207949  -0.00000740  -0.00000045  -0.04101844  -0.00004846  -0.12572373   1.66949646   0.00011800
input32     2.40           8.00     1.40     2.40     0.00   0.02251797  -0.00000565   0.07308608   3.24567813   0.01943769  -0.00000565   0.07396493  -0.00000062  -0.00260203  -0.00002117  -0.00000062  -0.04967062  -0.00002476  -0.12736853   1.67259589  -0.00005464
input33     2.80           8.00     1.40     2.80     0.00   0.02420796  -0.00007235   0.08565038   3.53810787   0.01999506  -0.00007235   0.08673068   0.00000008  -0.00313998   0.00001506   0.00000008  -0.05833224  -0.00003099  -0.12888359   1.67525131   0.00006094
input34     3.20           8.00     1.40     3.20     0.00   0.02613943   0.00006597   0.09840998   3.76480905   0.02060528   0.00006597   0.09971568   0.00000025  -0.00374043  -0.00001675   0.00000025  -0.06719586   0.00002523  -0.13027988   1.67862330  -0.00005254
input35     3.60           8.00     1.40     3.60     0.00   0.02825463  -0.00003106   0.11107835   3.93133246   0.02122421  -0.00003106   0.11263329  -0.00000087  -0.00434310  -0.00000653  -0.00000087  -0.07601883  -0.00002630  -0.13184806   1.68135765  -0.00002546
input36     4.00           8.00     1.40     4.00     0.00   0.03078226   0.00008462   0.12409437   4.03135965   0.02205089   0.00008462   0.12593934  -0.00000308  -0.00501287   0.00003062  -0.00000308  -0.08515608   0.00008448  -0.13348206   1.68455640  -0.00010162
input37     4.40           8.00     1.40     4.40     0.00   0.03349593   0.00009107   0.13723408   4.09703797   0.02286874   0.00009107   0.13939939  -0.00000219  -0.00564871  -0.00002149  -0.00000219  -0.09435741   0.00003646  -0.13497516   1.68645808  -0.00006951
input38     4.80           8.00     1.40     4.80     0.00   0.03654852   0.00004421   0.15031147   4.11265501   0.02384260   0.00004421   0.15284261  -0.00000542  -0.00643303  -0.00000412  -0.00000542  -0.10369650   0.00002401  -0.13634570   1.69046897  -0.00011797
input39     5.20           8.00     1.40     5.20     0.00   0.03978302   0.00001646   0.16359975   4.11230064   0.02479182   0.00001646   0.16653208  -0.00000502  -0.00719446  -0.00000872  -0.00000502  -0.11316942   0.00000175  -0.13801767   1.69335396  -0.00008017
input40     5.60           8.00     1.40     5.60     0.00   0.04336531   0.00006395   0.17668252   4.07428241   0.02591715   0.00006395   0.18007100  -0.00000134  -0.00791101  -0.00001847  -0.00000134  -0.12250165   0.00002222  -0.14023865   1.69527348  -0.00004931
input41     6.00           8.00     1.40     6.00     0.00   0.04723445   0.00010906   0.19054563   4.03403910   0.02705826   0.00010906   0.19443914   0.00000436  -0.00880405   0.00001652   0.00000436  -0.13253805   0.00008592  -0.14423808   1.69874382   0.00001797
input42     6.40           8.00     1.40     6.40     0.00   0.05137121   0.00003056   0.20416445   3.97429721   0.02829307   0.00003056   0.20861838   0.00000627  -0.00967510  -0.00001133   0.00000627  -0.14243225   0.00000812  -0.14823547   1.70157935   0.00008167
input43     6.80           8.00     1.40     6.80     0.00   0.05579008   0.00002016   0.21843309   3.91526735   0.02953428   0.00002016   0.22350229   0.00000364  -0.01045508  -0.00003502   0.00000364  -0.15268381  -0.00002219  -0.15233764   1.70265799   0.00006872
input44     7.20           8.00     1.40     7.20     0.00   0.06038330  -0.00006214   0.23273170   3.85423930   0.03073815  -0.00006214   0.23846457  -0.00001112  -0.01147694  -0.00000450  -0.00001112  -0.16322713  -0.00004405  -0.15703068   1.70612865  -0.00008044
