# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97996    0.02043448    0.00027763   -0.02681943        979745    0.02024614    0.00025908   -0.02626320
          20         97982    0.02011288   -0.00106243   -0.02601475       1959716    0.02025248   -0.00002680   -0.02608877
          30         97951    0.02041253   -0.00009136   -0.02586941       2939287    0.02029775    0.00004840   -0.02603804
          40         98038    0.02023162   -0.00061629   -0.02595994       3919157    0.02026949   -0.00002354   -0.02603067
          50         98048    0.02044447    0.00035874   -0.02527817       4899215    0.02025838   -0.00002113   -0.02602264
          60         98020    0.02053479   -0.00013904   -0.02581768       5879173    0.02026254   -0.00006247   -0.02606087
          70         97974    0.02005218    0.00008877   -0.02570478       6858917    0.02027663   -0.00007805   -0.02603360
          80         98010    0.02026619    0.00054253   -0.02602549       7838767    0.02029590   -0.00006824   -0.02607003
          90         97959    0.02018706   -0.00064041   -0.02621830       8818689    0.02029096   -0.00004659   -0.02605430
         100         98026    0.02008942   -0.00004683   -0.02590297       9798514    0.02028945   -0.00004732   -0.02604405
