# Name            pitch          Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg      CP_x         CP_y   
input1     -9.20           8.00     1.40    -9.20     0.00   0.08912745   0.00123474  -0.31224369  -3.50333926   0.03805905   0.00123474  -0.32247687  -0.00004147   0.01679371   0.00028756  -0.00004147   0.22200627   0.00107330  -0.18170162   1.71622437  -0.00005635
input2     -8.80           8.00     1.40    -8.80     0.00   0.08264766  -0.00052162  -0.29516185  -3.57132731   0.03651918  -0.00052162  -0.30433123   0.00009226   0.01637113   0.00013413   0.00009226   0.21003646  -0.00019781  -0.17760199   1.72038983  -0.00047184
input3     -8.40           8.00     1.40    -8.40     0.00   0.07714388  -0.00073962  -0.28196989  -3.65511666   0.03512529  -0.00073962  -0.29021443  -0.00016340   0.01616124   0.00009232  -0.00016340   0.20084315  -0.00037835  -0.17538604   1.72523990   0.00161366
input4     -8.00           8.00     1.40    -8.00     0.00   0.07154504  -0.00009229  -0.26637091  -3.72312204   0.03377710  -0.00009229  -0.27373576  -0.00018387   0.01407391   0.00025361  -0.00018387   0.18826939   0.00019488  -0.17031432   1.71459638   0.00184630
input5     -7.60           8.00     1.40    -7.60     0.00   0.06520906  -0.00093584  -0.24669533  -3.78314488   0.03200920  -0.00093584  -0.25315256   0.00000597   0.01221001  -0.00008286   0.00000597   0.17330709  -0.00067840  -0.15992433   1.70636280   0.00051201
input6     -7.20           8.00     1.40    -7.20     0.00   0.06055180   0.00268541  -0.23326827  -3.85237524   0.03083807   0.00268541  -0.23901804  -0.00007887   0.01175043   0.00028210  -0.00007887   0.16385282   0.00199100  -0.15865113   1.70867371  -0.00032352
input7     -6.80           8.00     1.40    -6.80     0.00   0.05524485   0.00070303  -0.21580670  -3.90636816   0.02930386   0.00070303  -0.22082982  -0.00013146   0.00991636   0.00005612  -0.00013146   0.15044443   0.00050350  -0.15069490   1.69787864   0.00101105
input8     -6.40           8.00     1.40    -6.40     0.00   0.05127098  -0.00163345  -0.20380941  -3.97514201   0.02823303  -0.00163345  -0.20825437   0.00015167   0.01006897  -0.00013927   0.00015167   0.14259448  -0.00117874  -0.15013067   1.70645901  -0.00067289
input9     -6.00           8.00     1.40    -6.00     0.00   0.04707848   0.00114722  -0.19011728  -4.03830547   0.02694791   0.00114722  -0.19399683  -0.00005774   0.00886157   0.00011371  -0.00005774   0.13231410   0.00084376  -0.14601468   1.69965343   0.00004505
input10     -5.60           8.00     1.40    -5.60     0.00   0.04319806   0.00076798  -0.17646236  -4.08496000   0.02577219   0.00076798  -0.17983557  -0.00007952   0.00767838   0.00028615  -0.00007952   0.12211920   0.00077487  -0.13934197   1.69221697   0.00071800
input11     -5.20           8.00     1.40    -5.20     0.00   0.03997688  -0.00055154  -0.16427975  -4.10936851   0.02492326  -0.00055154  -0.16722685   0.00001320   0.00741991  -0.00007715   0.00001320   0.11383700  -0.00042813  -0.13846402   1.69620712  -0.00000372
input12     -4.80           8.00     1.40    -4.80     0.00   0.03647338   0.00166698  -0.15016748  -4.11718002   0.02377977   0.00166698  -0.15269283  -0.00005170   0.00652498  -0.00000237  -0.00005170   0.10369315   0.00105844  -0.13648294   1.69201631  -0.00017181
input13     -4.40           8.00     1.40    -4.40     0.00   0.03357275   0.00156914  -0.13726357  -4.08854069   0.02294308   0.00156914  -0.13943469   0.00001651   0.00598670   0.00042778   0.00001651   0.09471787   0.00142633  -0.13534029   1.69246940  -0.00152525
input14     -4.00           8.00     1.40    -4.00     0.00   0.03070625   0.00080743  -0.12361529  -4.02573758   0.02200848   0.00080743  -0.12545613  -0.00005858   0.00489977   0.00008782  -0.00005858   0.08473549   0.00060164  -0.13234610   1.68253372   0.00056877
input15     -3.60           8.00     1.40    -3.60     0.00   0.02850471  -0.00026298  -0.11145441  -3.91003439   0.02145019  -0.00026298  -0.11302431  -0.00001947   0.00434177  -0.00009694  -0.00001947   0.07626633  -0.00026429  -0.13137636   1.68085553   0.00080257
input16     -3.20           8.00     1.40    -3.20     0.00   0.02604962  -0.00046809  -0.09803758  -3.76349419   0.02053639  -0.00046809  -0.09933884  -0.00003667   0.00361301  -0.00009023  -0.00003667   0.06682863  -0.00038811  -0.13014926   1.67559330   0.00166510
input17     -2.80           8.00     1.40    -2.80     0.00   0.02406226   0.00058881  -0.08504210  -3.53425269   0.01987924   0.00058881  -0.08611600   0.00000312   0.00280936   0.00016151   0.00000312   0.05761046   0.00053621  -0.12744069   1.66620320  -0.00140370
input18     -2.40           8.00     1.40    -2.40     0.00   0.02237985   0.00029494  -0.07229645  -3.23042576   0.01933276   0.00029494  -0.07317020   0.00001122   0.00247323   0.00030151   0.00001122   0.04903609   0.00048919  -0.12632573   1.66910242  -0.00133109
input19     -2.00           8.00     1.40    -2.00     0.00   0.02113215  -0.00013801  -0.06032438  -2.85462520   0.01901399  -0.00013801  -0.06102513  -0.00000281   0.00223001   0.00004940  -0.00000281   0.04106418  -0.00003843  -0.12464536   1.67576989  -0.00039241
input20     -1.60           8.00     1.40    -1.60     0.00   0.02010033  -0.00057506  -0.04860411  -2.41807566   0.01873538  -0.00057506  -0.04914640   0.00000245   0.00179658  -0.00007428   0.00000245   0.03307156  -0.00044023  -0.12386358   1.67551038   0.00107413
input21     -1.20           8.00     1.40    -1.20     0.00   0.01915797   0.00113703  -0.03630720  -1.89514794   0.01839341   0.00113703  -0.03670045  -0.00000079   0.00126865   0.00013156  -0.00000079   0.02462348   0.00085512  -0.12286787   1.67068275  -0.00204887
input22     -0.80           8.00     1.40    -0.80     0.00   0.01850791  -0.00081755  -0.02415481  -1.30510716   0.01816885  -0.00081755  -0.02441086   0.00000065   0.00078836  -0.00003274   0.00000065   0.01632255  -0.00055300  -0.12062460   1.66473603   0.00159770
