# iTrial                   Local step values                                      Cumulative average
# iTrial            ivisible       CD           CLy           CLz           ivisible       CD           CLy           CLz
          10         97981    0.02084625    0.00020077   -0.03992405        979771    0.02079158    0.00025573   -0.03884405
          20         97976    0.02074243   -0.00075636   -0.03893180       1959671    0.02092895    0.00008193   -0.03888093
          30         98068    0.02098474    0.00081166   -0.03916151       2939397    0.02093737    0.00005466   -0.03895673
          40         98037    0.02084675    0.00032425   -0.03874529       3919261    0.02091477    0.00004908   -0.03898204
          50         98031    0.02056782   -0.00011769   -0.03944001       4899123    0.02090666    0.00007283   -0.03893056
          60         97983    0.02123511    0.00029471   -0.03874629       5879121    0.02092203    0.00002659   -0.03893988
          70         97990    0.02086112   -0.00057465   -0.03865996       6858833    0.02093340    0.00000781   -0.03894189
          80         97887    0.02009554   -0.00040103   -0.03842811       7838681    0.02093767   -0.00001068   -0.03895600
          90         98065    0.02119294    0.00082572   -0.03952287       8818751    0.02093097    0.00001775   -0.03894982
         100         97989    0.02094060   -0.00058477   -0.03913283       9798689    0.02092585    0.00002605   -0.03896237
