# Name            mach          Mach    Gamma   Alpha   Beta    CD           CL,y         CL,z         L/D          CA           CN,y         CN,z         Cm,x cg      Cm,y cg      Cm,z cg      Cm,x O       Cm,y O       Cm,z O       Cm_q cg      CP_x         CP_y   
input1     1.00           1.00     1.40     0.00     0.00   0.01263619   0.00001506   0.00027568   0.02181648   0.01263619   0.00001506   0.00027568   0.00000000  -0.00003503  -0.00001764   0.00000000  -0.00021046  -0.00000806  -0.08279524   1.19881202   0.04286936
input2     1.38           1.38     1.40     0.00     0.00   0.01452137   0.00071984   0.00013045   0.00898313   0.01452137   0.00071984   0.00013045  -0.00000000  -0.00006529   0.00000281  -0.00000000  -0.00014830   0.00046089  -0.09472350   1.49409732  -0.07295160
input3     1.76           1.76     1.40     0.00     0.00   0.01572752  -0.00040899  -0.00026830  -0.01705921   0.01572752  -0.00040899  -0.00026830  -0.00000000  -0.00011670   0.00004497  -0.00000000   0.00005403  -0.00021529  -0.10378953   1.53061656  -0.00938939
input4     2.14           2.14     1.40     0.00     0.00   0.01665007  -0.00052475   0.00063961   0.03841494   0.01665007  -0.00052475   0.00063961  -0.00000000  -0.00008471  -0.00001403  -0.00000000  -0.00049174  -0.00034796  -0.10871889   1.83674831  -0.05865213
input5     2.52           2.52     1.40     0.00     0.00   0.01695879  -0.00021104  -0.00001277  -0.00075308   0.01695879  -0.00021104  -0.00001277  -0.00000000   0.00011214  -0.00006861  -0.00000000   0.00012027  -0.00020291  -0.11073905  -0.48070045  -0.36989196
input6     2.90           2.90     1.40     0.00     0.00   0.01715507  -0.00055926   0.00001174   0.00068423   0.01715507  -0.00055926   0.00001174  -0.00000000   0.00014255   0.00004015  -0.00000000   0.00013508  -0.00031574  -0.11286067   1.04878517  -0.01353524
input7     3.28           3.28     1.40     0.00     0.00   0.01734471  -0.00022741  -0.00085155  -0.04909559   0.01734471  -0.00022741  -0.00085155  -0.00000000   0.00003774  -0.00014344  -0.00000000   0.00057963  -0.00028815  -0.11355380   1.55614099  -0.21318710
input8     3.66           3.66     1.40     0.00     0.00   0.01747629   0.00005896  -0.00017665  -0.01010792   0.01747629   0.00005896  -0.00017665  -0.00000000   0.00011419   0.00004360  -0.00000000   0.00022661   0.00008112  -0.11435295   2.29830891  -0.06630426
input9     4.04           4.04     1.40     0.00     0.00   0.01765210  -0.00040376   0.00027166   0.01538986   0.01765210  -0.00040376   0.00027166  -0.00000000  -0.00004407  -0.00018963  -0.00000000  -0.00021695  -0.00044657  -0.11531737   1.85820028  -0.20395335
input10     4.42           4.42     1.40     0.00     0.00   0.01778555  -0.00038616  -0.00073532  -0.04134372   0.01778555  -0.00038616  -0.00073532   0.00000000   0.00014882   0.00007335   0.00000000   0.00061676  -0.00017239  -0.11655599   3.66655132  -0.16918708
input11     4.80           4.80     1.40     0.00     0.00   0.01763824  -0.00003733  -0.00005884  -0.00333616   0.01763824  -0.00003733  -0.00005884  -0.00000000  -0.00015389  -0.00007464  -0.00000000  -0.00011644  -0.00009840  -0.11692852   2.35990810  -0.18153120
input12     5.18           5.18     1.40     0.00     0.00   0.01781289  -0.00004847  -0.00001653  -0.00092816   0.01781289  -0.00004847  -0.00001653   0.00000000   0.00022234   0.00000630   0.00000000   0.00023286  -0.00002455  -0.11714366   2.18743611   0.35444262
input13     5.56           5.56     1.40     0.00     0.00   0.01786273   0.00057253  -0.00016408  -0.00918587   0.01786273   0.00057253  -0.00016408   0.00000000   0.00005347   0.00018706   0.00000000   0.00015789   0.00055139  -0.11720295   1.59370075   0.07239860
input14     5.94           5.94     1.40     0.00     0.00   0.01775517  -0.00019680  -0.00009040  -0.00509160   0.01775517  -0.00019680  -0.00009040  -0.00000000   0.00006064   0.00014656  -0.00000000   0.00011817   0.00002132  -0.11762128   0.09620151   0.16916873
input15     6.32           6.32     1.40     0.00     0.00   0.01803408  -0.00013346   0.00027375   0.01517951   0.01803408  -0.00013346   0.00027375   0.00000000  -0.00011638  -0.00007167   0.00000000  -0.00029059  -0.00015660  -0.11768826   0.19188391  -0.01764493
input16     6.70           6.70     1.40     0.00     0.00   0.01801686   0.00067308   0.00032521   0.01805047   0.01801686   0.00067308   0.00032521   0.00000000  -0.00007856   0.00014723   0.00000000  -0.00028551   0.00057556  -0.11741499   1.90359062  -0.01290075
input17     7.08           7.08     1.40     0.00     0.00   0.01799108  -0.00003487  -0.00063020  -0.03502855   0.01799108  -0.00003487  -0.00063020  -0.00000000   0.00007535  -0.00014381  -0.00000000   0.00047639  -0.00016600  -0.11834290   4.49260209  -0.15639274
input18     7.46           7.46     1.40     0.00     0.00   0.01800726   0.00021414   0.00015518   0.00861743   0.01800726   0.00021414   0.00015518   0.00000000   0.00017227   0.00022120   0.00000000   0.00007352   0.00035747  -0.11770112   2.31064248   1.21047865
input19     7.84           7.84     1.40     0.00     0.00   0.01804001   0.00052788  -0.00030000  -0.01662962   0.01804001   0.00052788  -0.00030000   0.00000000  -0.00016035   0.00005951   0.00000000   0.00003056   0.00039544  -0.11867457   7.45401778   0.28855580
input20     8.22           8.22     1.40     0.00     0.00   0.01790222   0.00021303   0.00025729   0.01437210   0.01790222   0.00021303   0.00025729  -0.00000000  -0.00018947  -0.00012816  -0.00000000  -0.00035320   0.00000741  -0.11802353   5.86463330  -0.93001749
input21     8.60           8.60     1.40     0.00     0.00   0.01795822  -0.00020444   0.00037684   0.02098408   0.01795822  -0.00020444   0.00037684  -0.00000000  -0.00012303  -0.00000976  -0.00000000  -0.00036284  -0.00013987  -0.11806143  -1.56605254   0.37271810
input22     8.98           8.98     1.40     0.00     0.00   0.01791926  -0.00064836  -0.00031907  -0.01780598   0.01791926  -0.00064836  -0.00031907  -0.00000000   0.00002376  -0.00005665  -0.00000000   0.00022681  -0.00046924  -0.11826637  -8.92123257  -2.44268066
input23     9.36           9.36     1.40     0.00     0.00   0.01788408   0.00013175  -0.00076667  -0.04286869   0.01788408   0.00013175  -0.00076667   0.00000000  -0.00014440  -0.00010666   0.00000000   0.00034348  -0.00002282  -0.11847500   1.33249042  -0.01159259
input24     9.74           9.74     1.40     0.00     0.00   0.01802107   0.00004385  -0.00061479  -0.03411508   0.01802107   0.00004385  -0.00061479   0.00000000  -0.00002200   0.00007167   0.00000000   0.00036923   0.00009957  -0.11833271   1.97469168  -0.05627068
input25     10.12          10.12     1.40     0.00     0.00   0.01812825   0.00032193   0.00064298   0.03546843   0.01812825   0.00032193   0.00064298  -0.00000000  -0.00009312   0.00010228  -0.00000000  -0.00050229   0.00030714  -0.11947284   0.78717371  -0.12929177
input26     10.50          10.50     1.40     0.00     0.00   0.01801274   0.00032811   0.00004300   0.00238702   0.01801274   0.00032811   0.00004300  -0.00000000  -0.00005774  -0.00003690  -0.00000000  -0.00008510   0.00017190  -0.11855184   1.70356374  -0.00939357
input27     10.88          10.88     1.40     0.00     0.00   0.01801989   0.00073975  -0.00032269  -0.01790716   0.01801989   0.00073975  -0.00032269   0.00000000   0.00007017   0.00003654   0.00000000   0.00027552   0.00050729  -0.11918336  -0.08361137  -0.75581186
input28     11.26          11.26     1.40     0.00     0.00   0.01814568  -0.00092590   0.00007556   0.00416426   0.01814568  -0.00092590   0.00007556   0.00000000  -0.00010145  -0.00014212   0.00000000  -0.00014954  -0.00073133  -0.11795773   1.74155643   0.04752492
